CH_NAME,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,REL_COUNTER
CH_NUM,ange(1, 16
TIMESTAMP
83797.267989352, 11387.7578125, 1734.8671875, 13987.16015625, -198.03515625, 10118.8203125, -93606.7109375, 2217.1171875, -10406.1484375, 15977.1171875, 6196.984375, 10767.07421875, 11920.4375, 7740.61328125, 9950.6640625, -87003.1015625
83797.271989352, 11372.4453125, 1740.7109375, 13989.515625, -201.4609375, 10146.703125, -93519.359375, 2510.67578125, -9448.6484375, 15969.02734375, 6215.18359375, 10761.265625, 11915.62890625, 7751.84375, 9941.95703125, -85963.09375
83797.275989352, 11437.46484375, 1719.05859375, 13981.046875, -177.94921875, 10033.7890625, -93820.828125, 1691.1328125, -12765.18359375, 16004.1640625, 6155.171875, 10786.99609375, 11954.8515625, 7681.04296875, 9988.46484375, -89349.46875
83797.279989352, 11492.0625, 1699.5, 13973.73046875, -160.88671875, 9937.69921875, -94090.21875, 908.7265625, -15988.83203125, 16033.796875, 6100.5625, 10808.38671875, 11983.37890625, 7627.14453125, 10025.50390625, -92469.21875
83797.283989352, 11460.91015625, 1708.484375, 13977.51171875, -174.79296875, 9991.5546875, -93956.5546875, 1243.93359375, -14409.22265625, 16016.5078125, 6126.1484375, 10796.1875, 11961.94921875, 7664.55078125, 10001.73046875, -90991.1875
83797.287989352, 11386.109375, 1733.640625, 13987.046875, -201.90625, 10124.28125, -93600.09375, 2246.91796875, -10320.69140625, 15974.71875, 6196.98046875, 10767.875, 11920.03125, 7743.5234375, 9949.953125, -86900.671875
83797.291989352, 11371.359375, 1739.44921875, 13989.1640625, -205.16796875, 10152.12109375, -93513.78125, 2531.8125, -9365.20703125, 15966.5390625, 6214.60546875, 10762.60546875, 11915.79296875, 7754.58203125, 9942.046875, -85860.953125
83797.295989352, 11437.0, 1717.5078125, 13980.78125, -181.12890625, 10038.078125, -93816.625, 1706.82421875, -12693.9921875, 16002.45703125, 6154.1953125, 10788.37890625, 11955.27734375, 7683.00390625, 9989.01953125, -89260.59375
83797.27409319299, 11491.41796875, 1697.73828125, 13973.44140625, -164.1328125, 9942.02734375, -94084.3125, 928.9921875, -15892.96875, 16032.015625, 6099.62890625, 10809.36328125, 11983.53125, 7628.87890625, 10025.5703125, -92357.9921875
83797.27809319299, 11460.17578125, 1706.63671875, 13977.33203125, -177.79296875, 9995.88671875, -93948.984375, 1270.84375, -14292.03515625, 16015.078125, 6125.48046875, 10796.74609375, 11961.9453125, 7665.9921875, 10001.8828125, -90860.0078125
83797.28209319299, 11386.20703125, 1731.29296875, 13986.96484375, -203.98828125, 10125.88671875, -93595.421875, 2269.83203125, -10238.6953125, 15975.07421875, 6196.00390625, 10767.81640625, 11920.23828125, 7743.2421875, 9950.4921875, -86822.203125
83797.28609319299, 11372.0703125, 1736.66796875, 13989.07421875, -206.79296875, 10151.5, -93513.296875, 2547.23828125, -9336.87890625, 15967.921875, 6213.18359375, 10762.4296875, 11916.21484375, 7753.3125, 9942.890625, -85844.078125
83797.29009319299, 11437.7578125, 1714.64453125, 13980.609375, -182.76953125, 10036.81640625, -93818.0, 1718.62890625, -12690.984375, 16003.68359375, 6152.3359375, 10788.33984375, 11955.76953125, 7681.5625, 9989.6015625, -89272.0625
83797.29409319299, 11491.48828125, 1695.1015625, 13973.359375, -166.03515625, 9941.5234375, -94084.46875, 946.9296875, -15875.35546875, 16032.9765625, 6098.16796875, 10809.171875, 11983.60546875, 7627.640625, 10025.50390625, -92364.8984375
83797.29809319299, 11459.1796875, 1704.19140625, 13977.3125, -180.08203125, 9996.4453125, -93947.0625, 1296.77734375, -14251.9453125, 16015.8203125, 6124.63671875, 10796.1484375, 11961.52734375, 7665.26171875, 10001.2421875, -90848.1875
83797.302093193, 11385.2265625, 1728.8203125, 13987.20703125, -206.19140625, 10126.26171875, -93594.328125, 2294.4765625, -10217.328125, 15976.05078125, 6195.25, 10767.34765625, 11919.9921875, 7742.6171875, 9950.01953125, -86821.09375
83797.309457196, 11371.80078125, 1734.1328125, 13989.33984375, -208.76953125, 10150.91796875, -93515.1640625, 2564.78515625, -9341.0, 15969.1171875, 6211.89453125, 10762.25, 11916.3671875, 7752.3125, 9942.6875, -85876.4921875
83797.313457196, 11437.78125, 1711.90625, 13980.67578125, -184.8125, 10035.546875, -93821.578125, 1733.87109375, -12713.21875, 16004.9453125, 6150.734375, 10787.9609375, 11955.87890625, 7680.02734375, 9989.5078125, -89325.0
83797.317457196, 11490.91015625, 1692.4765625, 13973.44921875, -168.28125, 9940.51953125, -94086.421875, 967.8359375, -15878.78125, 16034.125, 6096.828125, 10808.5, 11983.359375, 7626.50390625, 10025.28125, -92395.453125
83797.321457196, 11457.80078125, 1701.703125, 13977.671875, -182.50390625, 9996.11328125, -93946.3125, 1324.5546875, -14222.1328125, 16016.79296875, 6123.74609375, 10795.39453125, 11961.015625, 7664.7734375, 10000.6640625, -90842.40625
83797.325457196, 11383.29296875, 1725.9765625, 13987.54296875, -208.63671875, 10125.1484375, -93593.9765625, 2321.69921875, -10191.5390625, 15977.00390625, 6193.9609375, 10766.14453125, 11919.23828125, 7741.26171875, 9949.51171875, -86815.203125
83797.329457196, 11370.0703125, 1730.9140625, 13989.6796875, -210.9921875, 10147.609375, -93518.0, 2582.859375, -9352.109375, 15970.51953125, 6209.87890625, 10760.4765625, 11915.50390625, 7748.66796875, 9942.37890625, -85909.46875
